Estado;Estado;ID SIOE;Sigla;Designação;Tipologia de Entidade;Internacional;;;;;;;;;;;;;
Ativo;;875790441;INCM;Imprensa Nacional-Casa da Moeda, SA;SPE#;;;;;;;;;;;;;;

Ativo;;86120000;IGDC;Inspeção-Geral Diplomática e Consular;;;;;;;;;;;;;;;

Inativo;Inativo;;IDC;Inspeção Diplomática e Consular;AP#;;;;;;;;;;;;;;

Ativo;;20020000;IGAI;Inspeção-Geral da Administração Interna;AP#;;;;;;;;;;;;;;

Ativo;;90250000;IGMTSSS;Inspeção-Geral do Ministério do Trabalho, Solidariedade e Segurança Social;AP#;;;;;;;;;;;;;;

Ativo;;142200000;INFARMED;Autoridade Nacional do Medicamento e Produtos de Saúde, IP;AP#IP#ASF#;;;;;;;;;;;;;;

Ativo;;60210000;IGAC;Inspeção-Geral das Atividades Culturais;AP#;;;;;;;;;;;;;;

Ativo;;141200000;IGAS;Inspeção-Geral das Atividades em Saúde;AP#;;;;;;;;;;;;;;

Ativo;;875780365;ICNF;Instituto da Conservação da Natureza e das Florestas, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;795000105;IAMA;Instituto de Alimentação e Mercados Agrícolas;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;85230000;IASFA;Instituto de Ação Social das Forças Armadas, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;30160000;IFAP;Instituto de Financiamento da Agricultura e Pescas, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;790000022;ISSM;Instituto da Segurança Social da Madeira, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;875792013;ISSA;Instituto da Segurança Social dos Açores, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;90310000;ISS;Instituto da Segurança Social, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;90270000;IGFCSS;Instituto de Gestão de Fundos de Capitalização da Segurança Social, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;;IGFSS;Instituto de Gestão Financeira da Segurança Social, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;875780382;IGFEJ;Instituto de Gestão Financeira e Equipamentos da Justiça, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;30200000;IVV;Instituto da Vinha e do Vinho, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;110090000;IMT;Instituto de Mobilidade e dos Transportes, IP;"AP#
ER#
IP#";;;;;;;;;;;;;;

Ativo;;30210000;IVDP;Instituto dos Vinhos do Douro e do Porto, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;875790606;IH;Instituto Hidrográfico, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;12150000;INE;Instituto Nacional de Estatística, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;60320000;ICA;Instituto do Cinema e do Audiovisual, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;90320000;IEFP;Instituto do Emprego e Formação Profissional, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;111500000;IMPIC;Instituto dos Mercados Públicos, do Imobiliário e da Construção, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;152600000;IRN;Instituto dos Registos e do Notariado, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;90300000;II;Instituto de Informática, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;71400000;INPI;Instituto Nacional da Propriedade Industrial, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;142300000;INEM;Instituto Nacional de Emergência Médica, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;875780356;INIAV;Instituto Nacional de Investigação Agrária e Veterinária, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;151800000;INMLCF;Instituto Nacional de Medicina Legal e Ciências Forenses, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;142100000;INSA;Instituto Nacional de Saúde Doutor Ricardo Jorge, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;90170000;INR;Instituto Nacional para a Reabilitação, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;71600000;IPQ;Instituto Português da Qualidade, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;71960000;IPAC;Instituto Português de Acreditação, IP;"AP#
IP#";;;;;;;;;;;;;;

